[REFCODE]	[_publ_authors]	[_journal_name_full]	[_journal_volume]	[_journal_pages]	[_journal_year]	[_chemical_formula_moiety]	[_chemical_name_systematic]	[_chemical_name_common]	[_chemical_compound_source]	[_chemical_melting_point]	[_exptl_crystal_colour]	[_chemical_QUAL]	[_chemical_NOTE]	[_symmetry_space_group_name]	[_symmetry_Int_Tables_number]	[_cell_length_a]	[_cell_length_b]	[_cell_length_c]	[_cell_angle_alpha]	[_cell_angle_beta]	[_cell_angle_gamma]	[_cell_volume]	[_rcell_length_a]	[_rcell_length_b]	[_rcell_length_c]	[_rcell_angle_alpha]	[_rcell_angle_beta]	[_rcell_angle_gamma]	[_rcell_volume]	[_molecular_volume]	[_cell_RESIDUES]	[_cell_formula_units_Z]	[_cell_formula_units_Zprime]	[_exptl_crystal_preparation]	[_exptl_crystal_description]	[POLYMORPH]	[_exptl_crystal_NOTES]	[_refine_ls_R_factor]	[_cell_measurement_temperature]	[_exptl_crystal_density_CCDC]	[_exptl_crystal_density_diffrn]	[_diffrn_measurement_device]	[_exptl_DISORDER]	[_exptl_QUAL]	[_ccdc_REMARK]	
VEWJIQ	R.K.R.Jetti, P.K.Thallapally, Feng Xue, T.C.W.Mak, A.Nangia	Tetrahedron 	56	6707	2000	2(C21 H12 Cl3 N3 O3),C6 H3 N3 O6	2,4,6-tris(4-Chlorophenoxy)-1,3,5-triazine 1,3,5-trinitrobenzene clathrate			209-210deg.C	yellow			P63/m	176	15.255	15.255	7.005	90.0	90.0	120.0	1411.768	7.005	15.255	15.255	120.0	90.0	90.0	1411.768	1411.768	2	1.0	0.08		prism		isomorphous with the hexachlorobenzene, hexamethylbenzene and hexamethylphosphoramide clathrates and with the hexamethylbenzene and trinitromesitylene clathrates of the bromo analogue	5.64	295	1.334	1.335	3				
VEWXAZ	A.Jurowska, J.Szklarzewicz, M.Hodorowicz	CSD Communication(Private Communication) 			2018	C24 H20 P1 1+,C7 H4 Cl1 N1 O1,C7 H3 Cl1 N1 O1 1-	tetraphenylphosphonium 5-chloro-2-hydroxybenzonitrile 4-chloro-2-cyanophenolate				colorless			P21/c	14	9.4809	30.1785	11.7709	90.0	109.808	90.0	3168.616	9.4809	11.7709	30.1785	90.0	90.0	109.808	3168.616	792.154	3	4.0	1.0		needle			4.78	130	1.353	1.353	3				
VEXDAE	M.Tabatabaee, M.Ghassemzadeh, B.Zarabi, B.Neumuller	Z.Naturforsch.,B:Chem.Sci. 	61	1421	2006	C11 H8 Cl2 N4 O1 S1	4-(((1E)-(2,4-dichlorophenyl)methylene)amino)-6-methyl-3-thioxo-3,4-dihydro-1,2,4-triazin-5(2H)-one				colorless			P21/c	14	13.451	8.171	12.672	90.0	104.5	90.0	1348.393	8.171	12.672	13.451	104.5	90.0	90.0	1348.393	337.09825	1	4.0	1.0		plates			2.46	193	1.553	1.553	3				
VEXVEC	Yu-Min Liu, Hao Hou, Yan-Zhen Zhou, Xin-Jing Zhao, Chun Tang, Yuan-Zhi Tan, K.Mullen	Nat.Commun. 	9	1901	2018	C78 H36 Cl12 N6,2(C1 S2)	1,3,4,6,7,9,10,12,13,15,16,18-dodecachloro-N$2!,N$5!,N$8!,N$11!,N$14!,N$17!-hexaphenylhexabenzo[bc,ef,hi,kl,no,qr]coronene-2,5,8,11,14,17-hexamine carbon disulfide				light red			P21/n	14	15.8146	8.1128	26.0032	90.0	93.023	90.0	3331.586	8.1128	15.8146	26.0032	93.023	90.0	90.0	3331.586	1665.793	2	2.0	0.5		prism			5.52	100	1.63	1.63	3				
VEZYIL	M.Joy, E.R.Anabha, S.P.Gopi, B.Mathew, A.Kumar S, A.Mathews	Acta Crystallogr.,Sect.C:Cryst.Struct.Chem. 	74	807	2018	C14 H9 Cl1 N2 O2 S1	6-(4-chlorophenyl)-5-formyl-4-(methylsulfanyl)-2-oxo-1,2-dihydropyridine-3-carbonitrile				gold			P21/n	14	15.5215	4.1954	20.4883	90.0	93.139	90.0	1332.174	4.1954	15.5215	20.4883	93.139	90.0	90.0	1332.174	333.0435	1	4.0	1.0		needle			7.01	293	1.519	1.519	3		293 K		
VICPOP	H.W.L.Fraser, Lucy Smythe, S.Dey, G.S.Nichol, S.Piligkos, G.Rajaraman, E.K.Brechin	Dalton Trans. 	47	8100	2018	C17 H27 Cl4 Cr2 N2 O6 1+,Cl1 1-	[mu-(3,5-dichlorobenzoato)]-bis{mu-[2,2'-(methylazanediyl)bis(ethan-1-olato)]}-dichloro-di-chromium chloride				dark purple			P-1	2	10.2393	14.2193	18.1746	76.834	81.3824	89.2989	2546.84	10.2393	14.2193	18.1746	76.834	81.3824	89.2989	2546.84	636.71	2	4.0	2.0	Acetonitrile	plate			5.6	120	1.66	1.66	3				
VIDFEU	J.Bee-Jan Teh, P.S.Patil, H.-K.Fun, Y.E.Satheesh, I.A.Razak, S.M.Dharmaprakash	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	63	o1844	2007	C15 H10 Br1 Cl1 O1	(2E)-1-(3-Bromophenyl)-3-(4-chlorophenyl)prop-2-en-1-one				yellow			P-1	2	5.9155	7.2642	14.6629	86.452	83.241	87.863	624.22	5.9155	7.2642	14.6629	86.452	83.241	87.863	624.22	312.11	1	2.0	1.0	acetone	block			3.21	295	1.711	1.711	3				
VIDNUS	L.Chan, L.Daniels	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	63	o2435	2007	C7 H6 Cl2 O2 S1	3-Chloro-2-methylbenzene-1-sulfonyl chloride				colorless			C2/c	15	11.7233	9.8849	16.216	90.0	100.143	90.0	1849.8	7.66725	7.66725	16.216	82.2626	82.2626	80.2741	924.9	231.225	1	8.0	1.0		prism			4.74	293	1.616	1.616	3		at 293 K		
VIFCIX	A.Kunishita, J.Teraoka, J.D.Scanlon, T.Matsumoto, M.Suzuki, C.J.Cramer, S.Itoh	J.Am.Chem.Soc. 	129	7248	2007	C33 H30 Cl2 Cu1 N4 O1 2+,2(Cl1 O4 1-)	Acetonitrile-aqua-(N-benzyl-N,N-bis(6-(3-chlorophenyl)-2-pyridylmethyl)amine)-copper(ii) diperchlorate				green			P-1	2	9.43	11.586	16.939	86.89	74.54	85.12	1776.296	9.43	11.586	16.939	86.89	74.54	85.12	1776.296	888.148	2	2.0	1.0	ether/acetone/acetonitrile	block			5.98	153	1.556	1.552	3				
VIFVOX	C.-M.Sandra, C.C.Eduardo, H.-O.Simon, R.A.Teresa, N.C.Antonio, I.V.Lijanova, M.-G.Marcos	Anti-Cancer Agents in Medicinal Chemistry 	12	611	2012	C15 H10 Cl2 N4 O2	2-Azido-N-(4-chloro-2-(2-chlorobenzoyl)phenyl)acetamide				yellow			P-1	2	7.6072	10.3097	20.4588	83.613	79.774	84.916	1565.358	7.6072	10.3097	20.4588	83.613	79.774	84.916	1565.358	391.3395	1	4.0	2.0		Prism			4.68	298	1.482	1.482	3		298 K		
VIGQAE	V.G.Shtamburg, O.V.Shishkin, R.I.Zubatyuk, S.V.Kravchenko, A.V.Tsygankov, V.V.Shtamburg, V.B.Distanov, R.G.Kostyanovsky	Mendeleev Commun. 	17	178	2007	C12 H15 Cl1 N2 O4	N-(p-Chlorobenzoyloxy)-N-(n-butoxy)urea							C2/c	15	17.3618	19.9998	9.7443	90.0	121.104	90.0	2897.09	9.7443	13.24221	13.24221	98.0776	109.7947	109.7947	1448.547	362.13625	1	8.0	1.0	dichloromethane/hexane				5.8	100	1.315	1.315	3			Study temperature given as 293 K in the cif	
VIGQIM	A.V.Bogdanov, V.F.Mironov, N.R.Khasiyatullina, D.B.Krivolapov, I.A.Litvinov, A.I.Konovalov	Mendeleev Commun. 	17	183	2007	C22 H35 Br1 Cl1 N3 O2 P1 1+,Br1 1-	(6-Bromo-3-chloro-1,2-dihydroxynaphth-4-yl)-tris(diethylamino)phosphonium bromide			198-200 deg.C	colorless			P-1	2	9.346	11.317	13.533	88.65	75.54	70.94	1307.407	9.346	11.317	13.533	88.65	75.54	70.94	1307.407	653.7035	2	2.0	1.0	acetone/water/light petroleum	prism			6.5	293	1.524	1.524	3		at 293 K		
VIGWAM	A.I.McKay, A.J.Martinez-Martinez, H.J.Griffiths, N.H.Rees, J.B.Waters, A.S.Weller, T.Kramer, S.A.Macgregor	Organometallics 	37	3524	2018	C33 H56 P2 Rh1 1+,C24 H12 B1 Cl8 1-	(norbornadiene)-(1,2-bis(dicyclohexylphosphino)ethane)-rhodium(i) tetrakis(3,5-dichlorophenyl)borate	(bicyclo[2.2.1]hepta-2,5-diene)-((ethane-1,2-diyl)bis(dicyclohexylphosphane))-rhodium(i) tetrakis(3,5-dichlorophenyl)borate			orange		Air-sensitive,Moisture-sensitive,Hygroscopic,Oxygen-sensitive	P-1	2	12.4587	12.495	19.3031	99.602	104.83	97.808	2813.449	12.4587	12.495	19.3031	99.602	104.83	97.808	2813.449	1406.7245	2	2.0	1.0	dichloromethane, pentane	block			3.83	150	1.431	1.431	3				
VIHPAD01	M.S.Garraza, M.E.Gimenez, D.R.Vega, R.Baggio	Acta Crystallogr.,Sect.C:Cryst.Struct.Chem. 	75	851	2019	C17 H14 Cl2 N2 O2	10-chloro-11b-(2-chlorophenyl)-2,3,7,11b-tetrahydro[1,3]oxazolo[3,2-d][1,4]benzodiazepin-6(5H)-one	Cloxazolam; Akton; Cloxam; Clozal; Elum; Olcadil; Sepazon; Tolestan; DrugBank: DB01553			colorless	anxiolytic, anticonvulsant, hypnotic, sedative and skeletal muscle relaxant properties		B-1	2	16.7989	17.0054	22.1341	78.897	100.411	90.042	6098.788	12.62672	15.05412	17.0054	81.8376	80.3111	74.1459	3049.393	381.17425	1	16.0	4.0					5.74	150	1.521	1.521	3				
VIMGAC	I.V.Galkina, G.L.Takhautdinova, K.A.Ivshin, Kh.R.Khayarov, D.R.Islamov, Yu.V.Bakhtiyarova, L.N.Yamalieva, O.N.Kataeva, V.I.Galkin	Zh.Obshch.Khim.(Russ.)(Russ.J.Gen.Chem.) 	88	898	2018	C12 H5 Cl3 N4 O3	4-nitro-N-(2,4,6-trichlorophenyl)-2,1,3-benzoxadiazol-5-amine				colorless			Pna21	33	24.85	14.148	7.959	90.0	90.0	90.0	2798.208	7.959	14.148	24.85	90.0	90.0	90.0	2798.208	349.776	1	8.0	2.0		plate			4.78	293	1.707	1.707	3		twin; 293 K		
VIMKAF	L.R.Gomes, J.N.Low, A.S.M.C.Rodrigues, J.L.Wardell, M.V.N.de Souza, T.C.M.Noguiera, A.C.Pinheiro	Acta Crystallogr.,Sect.C:Cryst.Struct.Commun. 	69	920	2013	C15 H11 Cl1 N4	(E)-2-(2-(3-chlorobenzylidene)hydrazinyl)quinoxaline				yellow			C2/c	15	32.14	6.882	12.45	90.0	108.43	90.0	2612.544	6.882	12.45	16.43428	108.0073	102.086	90.0	1306.273	326.568	1	8.0	1.0		plate			6.57	100	1.438	1.438	3				
VIMWOF	Huan Zhang, H.Tanimoto, T.Morimoto, Y.Nishiyama, a.Kakiuchi	Org.Lett. 	15	5222	2013	C26 H25 Cl2 N3 O1	(1-Benzyl-5-butyl-1H-1,2,3-triazol-4-yl)(bis(4-chlorophenyl))methanol				colorless			P-1	2	9.8308	12.5782	19.6652	80.2772	80.3125	89.6716	2361.927	9.8308	12.5782	19.6652	80.2772	80.3125	89.6716	2361.927	590.48175	1	4.0	2.0		needle			5.35	123	1.312	1.312	3				
VIQQER	E.Royo, J.M.Betancort, T.J.Davis, P.Carroll, P.J.Walsh	Organometallics 	19	4840	2000	3(C40 H44 Cl4 N4 O12 S4 Ti1),C1 H2 Cl2,4(C7 H8)	tris(bis(1,2-bis((2-methoxy-5-chlorophenyl)sulfonamido)cyclohexane)-titanium) dichloromethane toluene solvate							P21	4	14.8889	37.7574	15.5479	90.0	101.244	90.0	8572.735	14.8889	15.5479	37.75741	90.0	90.0	101.244	8572.738	4286.3675	3	2.0	1.0					8.06	120	1.443	1.443	3				
VIRHEM	V.V.Sharutin, O.K.Sharutina, A.N.Efremov, E.S.Ilinykh, O.S.Eltsov	J.Fluorine Chem. 	216	7	2018	C24 H15 Cl6 O1 Sb1	chloro-(pentachlorophenoxy)-triphenyl-antimony(v)				colorless			P-1	2	9.873	16.231	17.335	114.408	90.07	90.079	2529.63	9.873	16.231	17.335	114.408	90.07	90.079	2529.63	632.4075	1	4.0	2.0		block			3.64	293	1.717	1.717	3		293.1 K		
VITKIV	Chi Lun Lee, Liangliang Wu, Jie-Sheng Huang, Chi-Ming Che	Chem.Commun. 	55	3606	2019	C28 H34 Cl4 Ir1 N2 O2	dichloro-(2,2'-{cyclohexane-1,2-diylbis[(azanylylidene)methylylidene]}bis(6-t-butyl-4-chlorophenolato))-iridium(iv)				black	absolute configuration		P21212	18	11.8989	12.7089	23.2281	90.0	90.0	90.0	3512.598	11.8989	12.7089	23.2281	90.0	90.0	90.0	3512.598	878.1495	1	4.0	1.0		block			2.51	100	1.446	1.446	3		absolute configuration		
VITMER	C.Castera, M.D.Crozet, M.Giorgi, P.Vanelle	J.Chem.Cryst. 	37	831	2007	C14 H9 Br1 Cl1 N3 O4 S1	6-Bromo-2-((4-chlorophenylsulfonyl)methyl)-3-nitroimidazo(1,2-a)pyridine			220deg.C	colorless			P21/c	14	9.6679	11.3642	15.2189	90.0	105.9053	90.0	1608.056	9.6679	11.3642	15.2189	90.0	105.9053	90.0	1608.056	402.014	1	4.0	1.0	chloroform	prism			3.55	293	1.779	1.779	3		at 293 K		
VIVHUD	A.Christofides, N.G.Connelly, H.J.Lawson, A.C.Loyns, A.G.Orpen, M.O.Simmonds, G.H.Worth	J.Chem.Soc.,Dalton Trans. 		1595	1991	C61 H54 Cl4 Mn1 N1 O6 P4 Ru1,C1 H2 Cl2	(mu!2$-Cyano)-tetracarbonyl-(tetrachlorocatecholato-O,O')-triethylphosphine-(1,2-bis(diphenylphosphino)ethane-P,P')-triphenylphosphine-manganese-ruthenium dichloromethane				dark red			P21/c	14	18.233	13.164	27.422	90.0	104.69	90.0	6366.661	13.164	18.233	27.422	104.69	90.0	90.0	6366.661	1591.66525	2	4.0	1.0					5.0	295	1.464	1.46	3				
VOFQOX	F.Artizzu, K.Bernot, A.Caneschi, E.Coronado, J.M.Clemente-Juan, L.Marchio, M.L.Mercuri, L.Pilia, A.Serpe, P.Deplano	Eur.J.Inorg.Chem. 		3820	2008	C36 H18 Cl9 Gd1 N4 O4	Chloro-bis(5,7-dichloro-8-quinolinato-N,O)-bis(5,7-dichloro-8-quinoline-O)-gadolinium(iii)				orange	magnetic properties		Pca21	29	25.678	9.771	29.367	90.0	90.0	90.0	7368.173	9.771	25.678	29.367	90.0	90.0	90.0	7368.173	921.021625	1	8.0	2.0		prism		isostructural with the Er analogue	3.9	293	1.887	1.887	3		at 293 K		
VOFTUG	Chun-Yue Shi, Chun-Hua Ge, En-Jun Gao, Hong-Xi Yin, Qi-Tao Liu	Inorg.Chem.Commun. 	11	703	2008	C28 H26 Cl2 Cu1 N4 O7,6(H2 O1)	Diacetoxy-aqua-bis(N-(4-chlorophenyl)-3-pyridinecarboxamido)-copper(ii) hexahydrate				blue	luminescent		P-1	2	10.7616	12.287	14.875	108.927	103.172	100.094	1744.038	10.7616	12.287	14.875	108.927	103.172	100.094	1744.038	872.019	2	2.0	1.0		block			7.07	293	1.472	1.472	3		at 293 K		
VOFVUJ	Eun Sil Jang, C.L.McMullin, M.Kass, K.Meyer, T.R.Cundari, T.H.Warren	J.Am.Chem.Soc. 	136	10930	2014	C23 H16 Cl7 Cu1 N3	(N,N'-bis(2,6-Dichlorophenyl)penta-2,4-diiminato)-((2,4,6-trichlorophenyl)amino)-copper(ii)				blue			P-1	2	11.307	11.66	23.091	91.282	100.757	118.983	2593.615	11.307	11.66	23.091	91.282	100.757	118.983	2593.615	648.40375	1	4.0	2.0		plate			4.72	100	1.655	1.655	3				
VOFWEU	Eun Sil Jang, C.L.McMullin, M.Kass, K.Meyer, T.R.Cundari, T.H.Warren	J.Am.Chem.Soc. 	136	10930	2014	C22 H18 Cl4 Cu1 N4	(N,N'-bis(2,6-Dichlorophenyl)penta-2,4-diiminato)-(pyridin-2-ylamino)-copper(ii)				green			P21/n	14	15.608	8.241	17.842	90.0	92.945	90.0	2291.906	8.241	15.608	17.842	92.945	90.0	90.0	2291.906	572.9765	1	4.0	1.0		needle			2.96	100	1.576	1.576	3				
VOGPUF	T.Akitsu, T.Hiratsuka, Yoshikazu, Aritake, A.Yamazaki, S.Matsuoka	Cobalt: Characteristics, Compounds and Applications 		185	2011	C32 H28 Cl4 Cu1 N2 O2	bis(2,4-dichloro-6-(((2-phenylpropyl)imino)methyl)phenolato)-copper(ii)				brown			P21	4	14.7535	13.6258	15.4435	90.0	98.083	90.0	3073.737	13.6258	14.7535	15.4435	98.083	90.0	90.0	3073.737	768.43425	1	4.0	2.0		prism			3.56	165	1.465	1.465	3				
VOGQAM	T.Akitsu, T.Hiratsuka, Yoshikazu, Aritake, A.Yamazaki, S.Matsuoka	Cobalt: Characteristics, Compounds and Applications 		185	2011	C32 H28 Cl4 N2 Ni1 O2	bis(2,4-dichloro-6-(((2-phenylpropyl)imino)methyl)phenolato)-nickel(ii)				brown			P21	4	14.8194	13.461	15.4422	90.0	97.431	90.0	3054.599	13.461	14.8194	15.4422	97.431	90.0	90.0	3054.599	763.64975	1	4.0	2.0		prism			3.29	173	1.464	1.464	3				
VOHXUM	R.Kia, H.-K.Fun, H.Kargar	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	64	o2285	2008	C19 H18 Cl4 N2	N,N'-bis(2,4-Dichlorobenzylidene)-2,2-dimethylpropane-1,3-diamine				colorless			Pcca	54	30.7633	5.4012	11.4532	90.0	90.0	90.0	1903.049	5.4012	11.4532	30.7633	90.0	90.0	90.0	1903.049	475.76225	1	4.0	0.5	ethanol	Block			2.98	100	1.453	1.452	3				
VOJZOK	Kunlun He, Houjun Lv, Junbo Wang, Guofu Qiu, Xianming Hu	J.Heterocycl.Chem. 	45	365	2008	C30 H17 Cl5 N4 O3	5-(bis((2,4-dichlorophenyl)carbonyl)amino)-N-(4-chlorophenyl)-1-phenyl-1H-pyrazole-4-carboxamide				colorless			C2/c	15	25.3575	11.2786	21.0139	90.0	104.268	90.0	5824.53	11.2786	13.87633	21.0139	103.0139	90.0	113.9787	2912.266	728.06625	1	8.0	1.0		prismatic			4.73	293	1.502	1.502	3		at 293 K		
VOKXIF	K.Sharma, T.P.Mohan, Usma Gangwar, D.Chopra	J.Mol.Struct. 	1197	742	2019	C22 H14 Cl1 I1 N2 O3	(5-chloro-2-{[3-(4-iodophenyl)-1,2,4-oxadiazol-5-yl]methoxy}phenyl)(phenyl)methanone				colorless			P-1	2	6.3877	12.7413	12.9396	85.11	80.09	85.666	1031.642	6.3877	12.7413	12.9396	85.11	80.09	85.666	1031.642	515.821	1	2.0	1.0		plate			4.55	298	1.663	1.663	3		298 K		
VOLDEG	A.T.Khan, T.Parvin, L.H.Choudhury	J.Org.Chem. 	73	8398	2008	C31 H26 Cl2 N2 O2	anti-Methyl 4-anilino-2,6-bis(4-chlorophenyl)-1-phenyl-1,2,5,6-tetrahydro-3-pyridinecarboxylate				colorless			P-1	2	10.1383	10.6645	13.7231	103.188	105.735	98.593	1354.674	10.1383	10.6645	13.7231	103.188	105.735	98.593	1354.674	677.337	1	2.0	1.0		blocks			4.59	296	1.298	1.298	3		at 296 K		
VONPUM	S.A.Adonin, M.D.Petrov, A.S.Novikov, R.R.Shiriyazdanov, M.N.Sokolov, V.P.Fedin	J.Cluster Sci. 	30	857	2019	C34 H28 Cl4 Cu2 O10	tetrakis[mu-(2-chlorobenzoato)]-bis(acetone)-di-copper(ii)				blue			P21/c	14	18.3676	11.4705	18.9757	90.0	117.51	90.0	3545.864	11.4705	18.3676	18.9757	117.51	90.0	90.0	3545.864	886.466	1	4.0	1.0		block			3.32	130	1.621	1.621	3				
VOPBUA	Wen Dai, S.J.Geib, D.P.Curran	J.Am.Chem.Soc. 	141	12355	2019	C13 H15 B1 Cl2 N2 O1	[2-(3,4-dichlorophenyl)-2-oxoethyl](1,3-dimethyl-1H-imidazol-3-ium-2-yl)dihydridoborate				colorless			C2/c	15	31.3149	5.1903	22.4457	90.0	129.034	90.0	2833.808	5.1903	15.87106	17.69283	83.7524	81.5655	80.589	1416.904	354.226	1	8.0	1.0		blade			3.26	150	1.392	1.392	3				
VOPFUD	Kit May Chow, Kong Mun Lo	Polyhedron 	81	370	2014	C29 H23 Cl3 N2 O3 Sn1	bis(2-chlorobenzyl)-(4-chloro-N-[(4-methoxy-2-oxidophenyl)methylidene]benzenecarbohydrazonato)-tin			421-423 K	yellow			P21/c	14	28.522	7.1103	12.998	90.0	90.069	90.0	2635.992	7.1103	12.998	28.522	90.069	90.0	90.0	2635.992	658.998	1	4.0	1.0	Ethanol	block			3.39	100	1.695	1.695	3				
VOPNEU	T.Kawamura, N.Hirayama	Anal.Sci.:X-Ray Struct.Anal.Online 	25	3	2009	C9 H10 Cl2 N3 O1 1+,Cl1 1-	Amino(((2,6-dichlorophenyl)acetyl)amino)methaniminium chloride	N-(Aminoiminomethyl)-2,6-dichlorobenzeneacetamide hydrochloride; Guanfacine hydrochloride			colorless	alpha!2$-adrenergic agonist used as an antihypertensive agent		Pbcn	60	14.439	8.3664	39.656	90.0	90.0	90.0	4790.542	8.3664	14.439	39.656	90.0	90.0	90.0	4790.542	299.408875	2	16.0	2.0	methanol	platelet			6.4	293	1.567	1.567	3		at 293.1 K		
VOQREZ	A.A.A.Alhadi, H.M.Ali, S.W.Ng	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	65	o910	2009	C14 H11 Cl1 N2 O5,2(H2 O1)	N'-(5-Chloro-2-hydroxybenzylidene)-3,4,5-trihydroxybenzohydrazide dihydrate				yellow			P21/c	14	30.5627	3.7539	12.8882	90.0	90.45	90.0	1478.609	3.7539	12.8882	30.5627	90.45	90.0	90.0	1478.609	369.65225	2	4.0	1.0	dimethyl sulfoxide	prism			7.1	100	1.611	1.611	3				
VORBAF	D.S.Yufit, Yu.T.Struchkov, A.N.Kornilov, M.A.Amanova, V.I.Sorokin, V.N.Knyazev, V.N.Drozd	Izv.Timiriazevsk.S-KH.Akad.(Russ.)(Bull.Timiryazev Agric.Acad.) 		185	1990	C14 H16 Cl1 N5 O4 S1	(N-(o-Chlorobenzenesulfonyl)-N'-(4-methoxy-6-isopropyl-1,3,5-triazin-2-yl))urea					sulfonylurea pesticide activity		C2/c	15	28.731	9.106	14.659	90.0	112.28	90.0	3548.829	9.106	14.659	15.06975	111.1871	107.5855	90.0	1774.415	443.603625	1	8.0	1.0					5.0	295	1.444	0.0	3				
VORDEM	G.Smith, U.D.Wermuth, D.S.Sagatys	Acta Crystallogr.,Sect.C:Cryst.Struct.Commun. 	65	o131	2009	C23 H32 Cl1 N3 O1 2+,2(C8 H3 Cl2 O4 1-),4(H2 O1)	rac-(4-(6-Chloro-2-methoxyacridin-10-ium-9-ylamino)pentyl)diethylammonium bis(2-carboxy-4,5-dichlorobenzoate) tetrahydrate	rac-Quinacrinium bis(2-carboxy-4,5-dichlorobenzoate) tetrahydrate		343 K	pale yellow	Quinacrine was used as an anti-malarial drug	efflorescent	P-1	2	10.6392	11.6737	18.203	77.961	89.549	76.432	2147.355	10.6392	11.6737	18.203	77.961	89.549	76.432	2147.355	1073.6775	3	2.0	1.0		prism			7.79	200	1.457	1.457	3				
VORMOH	K.A.Andrea, E.D.Butler, T.R.Brown, T.S.Anderson, D.Jagota, C.Rose, E.M.Lee, S.D.Goulding, J.N.Murphy, F.M.Kerton, C.M.Kozak	Inorg.Chem. 	58	11231	2019	C20 H16 Cl5 Fe1 N2 O3	aqua-(chloro)-{2,2'-[{[(pyridin-2-yl)methyl]azanediyl}bis(methylene)]bis(4,6-dichlorophenolato)}-iron(iii)				brownish violet			P21/c	14	8.1439	25.3416	11.192	90.0	109.516	90.0	2177.097	8.1439	11.192	25.3416	90.0	90.0	109.516	2177.097	544.27425	1	4.0	1.0		plate			6.73	100	1.725	1.725	3				
VORWAA	I.Sotofte, I.Crossland	Acta Chem.Scand. 	46	131	1992	C11 H11 Cl3	1,1-Dichloro-3,3-dimethyl-2-p-chlorophenylcyclopropane			21-23deg.C	colorless			P21/n	14	6.466	14.172	12.21	90.0	94.04	90.0	1116.097	6.466	12.21	14.172	90.0	90.0	94.04	1116.097	279.02425	1	4.0	1.0					2.4	120	1.485	1.48	3				
VOSJEV	L.Ueberricke, D.Holub, Julian Kranz, F.Rominger, M.Elstner, M.Mastalerz	Chem.-Eur.J. 	25	11121	2019	C52 H42 N4 O2,C6 H4 Cl2	9,24-di-t-butyl-15,18-dimethoxy-5,13,20,28-tetraazadodecacyclo[30.6.6.2$7,22!.0$2,31!.0$4,29!.0$6,27!.0$11,46!.0$12,21!.0$14,19!.0$26,45!.0$33,38!.0$39,44!]hexatetraconta-2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,33,35,37,39,41,43,45-docosaene 1,2-dichlorobenzene solvate				yellow			P-1	2	10.1626	14.7315	17.0773	114.653	94.484	100.417	2251.32	10.1626	14.7315	17.0773	114.653	94.484	100.417	2251.32	1125.66	2	2.0	1.0		plate			8.61	100	1.33	1.33	3				
VOTXOU	Joshua Lutz, C.M.Taylor, F.R.Fronczek	CSD Communication(Private Communication) 			2019	C8 H1 Cl4 N1 O2	4,5,6,7-tetrachloro-1H-isoindole-1,3(2H)-dione				colorless			P21/c	14	7.0713	5.319	24.5791	90.0	94.041	90.0	922.177	5.319	7.0713	24.5791	94.041	90.0	90.0	922.177	230.54425	1	4.0	1.0	ethanol / hexanes	needle			3.59	90	2.052	2.052	3				
VOVFEU	A.L.Rheingold, A.S.Borovik	CSD Communication(Private Communication) 			2019	C48 H32 Cl12 Fe2 N8 O7 2-,2(C8 H20 N1 1+)	bis(tetraethylammonium) (mu-oxo)-bis[2,2',2''-(nitrilo)tris[N-(3,5-dichlorophenyl)acetamidato]]-di-iron				red			C2/c	15	19.325	15.741	24.589	90.0	107.24	90.0	7143.79	12.46229	12.46229	24.589	76.7152	76.7152	78.3284	3571.894	1785.9475	2	4.0	0.5		plate			4.55	200	1.516	1.516	3				
VOWMEZ	T.Tsutsumi, A.Takeuchi, Y.Hashimoto, M.Hasegawa, Y.Iitaka	Chem.Lett. 		1533	1991	C20 H14 Cl2 N2	2,3-bis(2-(4-Chlorophenyl)ethenyl)pyrazine				yellow			P21/n	14	18.476	23.155	4.008	90.0	91.97	90.0	1713.656	4.008	18.476	23.155	90.0	90.0	91.97	1713.656	428.414	1	4.0	1.0					6.2	295	1.369	1.369	3				
VUBSES	Shuaijun Yang, Danqing Liu, Xiaomin Xu, Qian Miao	Chem.Commun. 	51	4275	2015	C16 H4 Cl4 N4	2,3,8,9-Tetrachloroquinoxalino[2',3':3,4]cyclobuta[1,2-b]quinoxaline				yellow			P-1	2	5.8383	6.0989	10.5832	82.636	76.077	82.498	360.798	5.8383	6.0989	10.5832	82.636	76.077	82.498	360.798	360.798	1	1.0	0.5		block			2.89	296	1.814	1.813	3		at 296 K		
VUBVET	S.Mehdi, K.Ravikumar	Acta Crystallogr.,Sect.C:Cryst.Struct.Commun. 	48	1627	1992	C23 H31 Cl2 N3 O2,H2 O1	4-(2,4-Dichlorophenyl)-(N,N,N',N'-tetraethyl-2,6-dimethyl-1,4-dihydropyridine-3,5-dicarboxamide) monohydrate					calcium channel antagonistic activity		P21/n	14	14.686	7.59	23.578	90.0	107.47	90.0	2506.937	7.59	14.686	23.578	107.47	90.0	90.0	2506.937	626.73425	2	4.0	1.0					5.1	295	1.246	1.25	3				
