[REFCODE]	[_publ_authors]	[_journal_name_full]	[_journal_volume]	[_journal_pages]	[_journal_year]	[_chemical_formula_moiety]	[_chemical_name_systematic]	[_chemical_name_common]	[_chemical_compound_source]	[_chemical_melting_point]	[_exptl_crystal_colour]	[_chemical_QUAL]	[_chemical_NOTE]	[_symmetry_space_group_name]	[_symmetry_Int_Tables_number]	[_cell_length_a]	[_cell_length_b]	[_cell_length_c]	[_cell_angle_alpha]	[_cell_angle_beta]	[_cell_angle_gamma]	[_cell_volume]	[_rcell_length_a]	[_rcell_length_b]	[_rcell_length_c]	[_rcell_angle_alpha]	[_rcell_angle_beta]	[_rcell_angle_gamma]	[_rcell_volume]	[_molecular_volume]	[_cell_RESIDUES]	[_cell_formula_units_Z]	[_cell_formula_units_Zprime]	[_exptl_crystal_preparation]	[_exptl_crystal_description]	[POLYMORPH]	[_exptl_crystal_NOTES]	[_refine_ls_R_factor]	[_cell_measurement_temperature]	[_exptl_crystal_density_CCDC]	[_exptl_crystal_density_diffrn]	[_diffrn_measurement_device]	[_exptl_DISORDER]	[_exptl_QUAL]	[_ccdc_REMARK]	[PREF]	[BATC]	[ADAT]	[MDAT]	[NBSI]	[CDRE]	[MSDB]	[NBIT]	[MATF]	[CATF]	[CCOM]	[_ccdc_NOTES]	[_ccdc_RMARKS]	[_ccdc_QUAL]	[_ccdc_PROPS]	
TOXDIT	M.Akita, R.Hua, T.Oku, M.Tanaka, Y.Moro-oka	Organometallics 	15	4162	1996	C49 H42 O2 Ru2 Si2,C6 H14	(mu!2$-Methylene)-bis((eta$5!-cyclopentadienyl)-carbonyl-triphenylsilyl-ruthenium) hexane solvate							P21/a	14	19.337	17.656	14.023	90.0	92.31	90.0	4783.759	14.023	17.656	19.337	90.0	92.31	90.0	4783.759	1195.93975	2	4.0	1.0					4.3	295	1.399	1.4	3				A8730402	300	19970519	20010104	673922	0	0	101	3	3			"DOI: 10.1021/om960258r			
TUBLEK	C.Negi, D.Bawari, S.K.Thakur, Angshuman Roy Choudhury, Sanjay Singh	J.Organomet.Chem. 	901	120943	2019	2(C22 H44 Al1 Cl1 N6 Si4),C6 H14	chloro-bis(N-(trimethylsilyl)-6-[(trimethylsilyl)amino]pyridin-2-aminido)-aluminium hexane solvate				colorless			P21/c	14	12.1597	11.9124	24.929	90.0	93.882	90.0	3602.711	11.9124	12.1597	24.929	93.882	90.0	90.0	3602.711	1801.3555	2	2.0	0.5		block			3.55	100	1.126	1.126	3				TUBLEK	0	20191030	20191125	0	0	0	140	3	3			"CCDC: CCDC 1946692 "DOI: 10.1016/j.jorganchem.2019.120943	"TEMP: 100 K	"COLOR: colorless "HABIT: block	
TUDLEL	Ling Xu, Yu-Chen Wang, Junnian Wei, Yang Wang, Zitao Wang, Wen-Xiong Zhang, Zhenfeng Xi	Chem.-Eur.J. 	21	6686	2015	C82 H122 Cl2 Li2 Lu2 O4 Si4,C6 H14	bis(mu!3$-Chloro)-bis(mu!2$-6,6-dimethyl-5-oxido-2,3-diphenyl-1,4-bis(trimethylsilyl)hepta-1,3-dien-1-yl)-(eta$5!-pentamethylcyclopentadienyl)-bis(tetrahydrofuran)-di-lithium-di-lutetium n-hexane solvate				yellow			P21/c	14	11.6692	17.5565	22.61	90.0	103.787	90.0	4498.659	11.6692	17.5565	22.61	90.0	103.787	90.0	4498.659	2249.3295	2	2.0	0.5		block			4.7	100	1.333	1.333	3				TUDLEL	0	20150508	20150515	0	0	0	216	3	3			"CCDC: CCDC 1030625 "DOI: 10.1002/chem.201500387	"TEMP: 100 K	"COLOR: yellow "HABIT: block	
TUGDOR	Nan Lin, Hui-Dan Ou, Qiyan Xu, Yan Jin, Wei Deng, Zi-Jian Yao	ACS Omega 	5	4636	2020	C35 H24 Ir1 N4 O1 1+,0.5(C6 H14),F6 P1 1-	(1,10-phenanthroline-5-carbaldehyde)-bis[2-(pyridin-2-yl)phenyl]-iridium hexafluorophosphate hexane solvate				yellow			Pna21	33	23.9369	9.0172	33.4311	90.0	90.0	90.0	7215.896	9.0172	23.9369	33.4311	90.0	90.0	90.0	7215.896	901.987	3	8.0	2.0		rod			3.93	173	1.651	1.651	3				TUGDOR	0	20200311	20200420	0	0	0	175	3	3			"CCDC: CCDC 1912756 "DOI: 10.1021/acsomega.9b04364	"TEMP: 173 K	"COLOR: yellow "HABIT: rod	
TUGMAM	C.Prasang, A.Berndt, G.Geiseler, W.Massa	CSD Communication(Private Communication) 			2020	C31 H70 B4 N2 Si6,0.5(C6 H14)	1-[1,2,3,6,7,8-hexakis(trimethylsilyl)octahydro-1H-4,5,9-[1,2]diborolo[1'',2'':2',3']triborireno[1',2':2,3]triborireno[1,2-a][1,2]diborol-5-yl]-N,N-dimethyl-1-pyridin-4-amine hexane solvate				red			Pbca	61	19.0473	21.3004	23.2246	90.0	90.0	90.0	9422.571	19.0473	21.3004	23.2246	90.0	90.0	90.0	9422.571	1177.821375	2	8.0	1.0		octahedron			4.32	193	1.023	1.023	3				TUGMAM	0	20200311	20200708	0	0	0	153	3	3			"CCDC: CCDC 1989765	"TEMP: 193 K	"COLOR: red "HABIT: octahedron	
TUHTIB	S.Kuriyama, K.Arashiba, K.Nakajima, H.Tanaka, K.Yoshizawa, Y.Nishibayashi	Chemical Science 	6	3940	2015	C66 H102 Mo2 N12 P4 Ru2,C6 H14	(mu!2$-Dinitrogen-N,N')-tetrakis(dinitrogen)-bis(4-ruthenocenyl-2,6-bis(di-t-butylphosphinomethyl)pyridine-N,P,P')-di-molybdenum n-hexane solvate							P-1	2	14.7212	15.3604	18.0121	72.7582	84.4816	81.1096	3837.719	14.7212	15.3604	18.0121	72.7582	84.4816	81.1096	3837.719	1918.8595	2	2.0	1.0		platelet			4.24	198	1.443	1.443	3				TUHTIB	0	20150512	20160422	0	0	0	180	3	3			"CCDC: CCDC 1048953 "DOI: 10.1039/C5SC00545K	"TEMP: 198 K	"HABIT: platelet	
TULCUZ	I.Korobkov, S.Gambarotta	Organometallics 	28	4009	2009	C56 H82 Al1 O6 Sm1,0.5(C6 H14)	bis(mu!2$-Methylenebis(3-t-butyl-5-methyl-2-oxyphenyl)-O,O,O')-dimethyl-bis(tetrahydrofuran)-aluminium-samarium n-hexane solvate				colorless			P-1	2	9.9455	13.4452	22.0336	80.795	84.063	83.572	2879.084	9.9455	13.4452	22.0336	80.795	84.063	83.572	2879.084	1439.542	2	2.0	1.0		block			3.49	203	1.236	1.236	3				W4580805	899	20100816	20100816	0	0	0	164	3	3			"CCDC: CCDC 750931 "DOI: 10.1021/om900172n	"TEMP: at 203 K	"COLOR: colorless "HABIT: block	
TUMCEL	Yi-Ju Tsai, Wenfeng Lo, Qinliang Zhao	Polyhedron 	97	39	2015	C42 H56 N4 O1 Zn2,0.5(C6 H14)	bis(mu-(2,6-dimethylphenyl)([(2,6-dimethylphenyl)imino]methyl)amido)-tetrahydrofuran-diethyl-di-zinc n-hexane solvate				colorless		Air-sensitive, Moisture-sensitive, Oxygen-sensitive	P21/n	14	12.2589	22.56	15.797	90.0	107.719	90.0	4161.576	12.2589	15.797	22.56	90.0	90.0	107.719	4161.576	1040.394	2	4.0	1.0	tetrahydrofuran/n-hexanes	block			4.19	100	1.288	1.288	3				TUMCEL	0	20150513	20150526	0	0	0	130	3	3			"CCDC: CCDC 1033766 "DOI: 10.1016/j.poly.2015.05.003	"TEMP: 100 K	"COLOR: colorless "HABIT: block "SOURCE-CHEM: tetrahydrofuran/n-hexanes "SENS: Air-sensitive, Moisture-sensitive, Oxygen-sensitive	
TUNRAY	C.G.P.Ziegler, F.Hennersdorf, J.J.Weigand, R.Wolf	Z.Anorg.Allg.Chem. 	646	552	2020	C16 H34 K1 O8 1+,C43 H51 Fe1 Ga1 N2 P4 1-,C4 H10 O2,0.5(C6 H14)	(18-crown-6)-(1,2-dimethoxyethane)-potassium (mu-tetraphosphanido)-(eta$4!-anthracene)-(N,N'-bis(2,6-di-isopropylphenyl)pentane-2,4-diiminato)-gallium-iron 1,2-dimethoxyethane n-hexane solvate				dark orange		air- and moisture-sensitive	P-1	2	12.8013	12.8477	22.8788	95.47	99.362	105.796	3533.659	12.8013	12.8477	22.8788	95.47	99.362	105.796	3533.659	1766.8295	4	2.0	1.0	dimethoxyethane /n-hexane	block			3.14	123	1.29	1.29	3				TUNRAY	0	20200316	20200727	0	0	0	225	3	3			"CCDC: CCDC 1972352 "DOI: 10.1002/zaac.201900351	"TEMP: 123 K	"COLOR: dark orange "HABIT: block "SOURCE-CHEM: dimethoxyethane /n-hexane "SENS: air- and moisture-sensitive	
TUTYEM	M.Honma, T.Sawada, Y.Fujisawa, M.Utsugi, H.Watanabe, A.Umino, T.Matsumura, T.Hagihara, M.Takano, M.Nakada	J.Am.Chem.Soc. 	125	2860	2003	C23 H24 Br1 N1 O4 S1,0.5(C6 H14)	(1R,5R)-2-((4-Bromobenzoyl)oxyimino)-5-methyl-1-(mesitylsulfonyl)bicyclo(3.1.0)hexane n-hexane solvate			146-148 deg.C	colorless			C2	5	27.53	12.791	7.2049	90.0	95.019	90.0	2527.378	7.2049	12.791	15.1782	114.9206	94.5507	90.0	1263.689	631.8445	2	4.0	1.0		prism			4.1	93	1.402	1.402	3				H2810803	520	20030605	20030605	802316	0	0	178	3	3			"CCDC: CCDC 206417 "DOI: 10.1021/ja029534l	"TEMP: at 93.1 K	"MP: 146-148 deg.C "COLOR: colorless "HABIT: prism	
TUVBET	T.J.Hadlington, M.Hermann, G.Frenking, C.Jones	Chemical Science 	6	7249	2015	C100 H130 N2 O2 Si2 Sn2,2(C6 H14)	bis(mu-oxo)-bis(N-(2,6-bis(diphenylmethyl)-4-isopropylphenyl)-1,1,1-triisopropylsilanamido)-bis(3,3-dimethylbutyl)-di-tin hexane solvate				colorless			P-1	2	15.4827	16.4448	23.7823	72.311	88.259	62.908	5094.128	15.4827	16.4448	23.7823	72.311	88.259	62.908	5094.128	2547.064	2	2.0	1.0		block			4.95	123	1.211	1.211	3				TUVBET	0	20151001	20151109	0	0	0	137	3	3			"CCDC: CCDC 1422742 "DOI: 10.1039/C5SC03376D	"TEMP: 123 K	"COLOR: colorless "HABIT: block	
TUWJED	D.W.N.Wison, Joey Feld, J.M.Goicoechea	Angew.Chem.,Int.Ed. 	59	20914	2020	C55 H77 Ga1 N4 P2,C6 H14	({1,3-bis[2,6-bis(propan-2-yl)phenyl]-1,3-dihydro-2H-1,3,2-diazaphosphol-2-yl}phosphanylidene)-[N-(4-{[2,6-bis(propan-2-yl)phenyl]imino}pent-2-en-2-yl)-2,6-bis(propan-2-yl)anilinato]-gallium hexane solvate				orange			P21/c	14	20.7083	12.788	25.0002	90.0	113.959	90.0	6050.05	12.788	20.7083	25.0002	113.959	90.0	90.0	6050.05	1512.5125	2	4.0	1.0		needle			4.74	150	1.111	1.111	3				TUWJED	0	20200723	20201121	0	0	0	172	3	3			"CCDC: CCDC 2008786 "DOI: 10.1002/anie.202008207	"TEMP: 150 K	"COLOR: orange "HABIT: needle	
TUWJON	D.W.N.Wison, Joey Feld, J.M.Goicoechea	Angew.Chem.,Int.Ed. 	59	20914	2020	C55 H77 Ga1 N4 P2,0.5(C6 H14)	(1-{(diphosphen-2-id-1-yl)[2,6-di(propan-2-yl)phenyl]amino}-2-{[2,6-di(propan-2-yl)phenyl]imino}ethyl)-[N-(4-{[2,6-bis(propan-2-yl)phenyl]imino}pent-2-en-2-yl)-2,6-bis(propan-2-yl)anilinato]-gallium n-hexane solvate				orange			P21/c	14	15.1634	16.9614	21.8303	90.0	99.407	90.0	5539.085	15.1634	16.9614	21.8303	90.0	99.407	90.0	5539.085	1384.77125	2	4.0	1.0		plate			4.7	150	1.162	1.162	3				TUWJON	0	20200723	20201121	0	0	0	188	3	3			"CCDC: CCDC 2008788 "DOI: 10.1002/anie.202008207	"TEMP: 150 K	"COLOR: orange "HABIT: plate	
TUWTUB	R.S.Ghadwal, S.S.Sen, H.W.Roesky, M.Granitzka, D.Kratzert, S.Merkel, D.Stalke	Angew.Chem.,Int.Ed. 	49	3952	2010	C42 H50 Cl2 N2 O1 Si1,0.5(C6 H14)	dichloro-(bis(p-tolyl)(oxy)methyl)-(1,3-bis(2,6-diisopropylphenyl)imidazol-2-ylidene)-silicon n-hexane solvate				colorless			Pbca	61	17.536	20.218	23.298	90.0	90.0	90.0	8260.139	17.536	20.218	23.298	90.0	90.0	90.0	8260.139	1032.517375	2	8.0	1.0		plate			3.52	100	1.192	1.192	3				TUWTUB	896	20100725	20160329	0	0	0	165	3	3			"CCDC: CCDC 763282 "DOI: 10.1002/anie.201000835	"TEMP: at 100 K	"COLOR: colorless "HABIT: plate	
UBIFUJ	T.D.Lohrey, R.G.Bergman, J.Arnold	Inorg.Chem. 	55	11993	2016	C35 H56 Cl2 N2 O1 P1 Re1,0.5(C6 H14)	Dichloro-(N,N'-bis(2,6-di-isopropylphenyl)pentane-2,4-diiminato)-triethylphosphine-oxo-rhenium n-hexane solvate				red		air- and moisture-sensitive	P21/n	14	9.8643	22.9718	17.4389	90.0	93.44	90.0	3944.547	9.8643	17.4389	22.9718	90.0	90.0	93.44	3944.547	986.13675	2	4.0	1.0	hexane	plate			3.78	100	1.435	1.435	3				UBIFUJ	0	20161215	20170104	0	0	0	139	3	3			"CCDC: CCDC 1502209 "DOI: 10.1021/acs.inorgchem.6b02122	"TEMP: 100 K	"COLOR: red "HABIT: plate "SOURCE-CHEM: hexane "SENS: air- and moisture-sensitive	
UCODAR	M.D.Fryzuk, C.M.Kozak, M.R.Bowdridge, Weichang Jin, D.Tung, B.O.Patrick, S.J.Rettig	Organometallics 	20	3752	2001	C24 H54 Cl1 N2 Nb1 P2 Si4,C6 H14	Chloro-(4,10-dicyclohexyl-2,2,6,6,8,8,12,12-octamethyl-1,7-diaza-4,10-diphospha-2,6,8,12-tetrasiladodecane-N,N',P,P')-niobium(iii) n-hexane solvate				green			Pbcn	60	15.5439	24.327	10.8181	90.0	90.0	90.0	4090.718	10.8181	15.5439	24.327	90.0	90.0	90.0	4090.718	1022.6795	2	4.0	0.5		prism			3.0	173	1.233	1.233	3				F6670702	454	20020116	20020713	768345	0	0	131	3	3			"CCDC: CCDC 171096 "DOI: 10.1021/om010356z	"TEMP: at 173.2 K	"COLOR: green "HABIT: prism	
UCOLIJ	S.L.Hancock, M.F.Mahon, G.Kociok-Kohn, M.D.Jones	Eur.J.Inorg.Chem. 		4596	2011	C41 H68 Hf1 N2 O4,C6 H14	(2,2'-((1,4-Diazepane-1,4-diyl)bis(methylene))bis(4,6-di-t-butylphenolato)-N,N',O,O')-bis(isopropoxy)-hafnium(iv) n-hexane solvate				colorless			P-1	2	8.7915	16.8368	17.6504	66.874	79.532	84.196	2361.414	8.7915	16.8368	17.6504	66.874	79.532	84.196	2361.414	1180.707	2	2.0	1.0		block			4.92	150	1.291	1.291	3				U9580205	962	20120125	20120125	0	0	0	162	3	3			"CCDC: CCDC 829392 "DOI: 10.1002/ejic.201100589	"TEMP: at 150 K	"COLOR: colorless "HABIT: block	
UCULOV	J.Vicente, J.A.Abad, R.-M.Lopez-Nicolas, P.G.Jones	Organometallics 	30	4983	2011	C60 H48 Br2 P2 Pd2 S2,C6 H14,C1 H2 Cl2	bis(mu!2$-2-(phenylsulfanyl)phenyl)-dibromo-bis(triphenylphosphine)-di-palladium dichloromethane hexane solvate				colorless			P21/c	14	18.203	15.41	22.325	90.0	105.56	90.0	6032.832	15.41	18.203	22.325	105.56	90.0	90.0	6032.832	1508.208	3	4.0	1.0		prism			4.9	133	1.584	1.584	3				UCULOV	962	20120125	20130513	0	0	0	112	3	3			"CCDC: CCDC 855499 "DOI: 10.1021/om200607h	"TEMP: at 133 K	"COLOR: colorless "HABIT: prism	
UDEJOD	J.Richter, J.Feiling, H.-G.Schmidt, M.Noltemeyer, W.Bruser, F.T.Edelmann	Z.Anorg.Allg.Chem. 	630	1269	2004	C46 H74 N7 Si6 Sm1,0.5(C6 H14)	(Benzonitrile-N)-tris(N,N'-bis(trimethylsilyl)benzamidinato)-samarium(iii) hexane solvate			116deg.C	colorless		moisture-sensitive	P21/n	14	15.337	16.471	23.438	90.0	92.22	90.0	5916.364	15.337	16.471	23.438	90.0	92.22	90.0	5916.364	1479.091	2	4.0	1.0		block			3.18	153	1.221	1.22	3				Q6121101	760	20070912	20070912	0	0	0	132	3	3			"CCDC: CCDC 295798 "FIZ: CSD 59285 "DOI: 10.1002/zaac.200400035	"TEMP: at 153 K	"MP: 116deg.C "COLOR: colorless "HABIT: block "SENS: moisture-sensitive	
UDEJUJ	J.Richter, J.Feiling, H.-G.Schmidt, M.Noltemeyer, W.Bruser, F.T.Edelmann	Z.Anorg.Allg.Chem. 	630	1269	2004	C46 H74 Eu1 N7 Si6,0.5(C6 H14)	(Benzonitrile-N)-tris(N,N'-bis(trimethylsilyl)benzamidinato)-europium(iii) hexane solvate				yellow			P21/n	14	15.33	16.466	23.419	90.0	92.182	90.0	5907.226	15.33	16.466	23.419	90.0	92.182	90.0	5907.226	1476.8065	2	4.0	1.0		blocks			4.03	153	1.224	1.224	3				Q6121102	760	20070912	20070912	0	0	0	132	3	3			"CCDC: CCDC 295799 "FIZ: CSD 59285 "DOI: 10.1002/zaac.200400035	"TEMP: at 153 K	"COLOR: yellow "HABIT: blocks	
UHAFEO	R.C.Smith, Tong Ren, J.D.Protasiewicz	Eur.J.Inorg.Chem. 		2779	2002	C36 H18 Cl6 P2,C6 H14	Bi-(5-chloro-1-(2,6-dichlorophenyl)-9-phosphafluoren-9-yl) n-hexane solvate				colorless			C2/c	15	21.271	12.5866	14.94	90.0	103.499	90.0	3889.379	12.35797	12.35797	14.94	78.4108	78.4108	61.2278	1944.689	972.34475	2	4.0	0.5	hexanes/deuterochloroform	rod			4.25	293	1.386	1.361	3		at 293 K		G7991302	502	20030121	20030121	803696	0	0	120	3	3			"CCDC: CCDC 184749 "DOI: 10.1002/1099-0682(200211)2002:11<2779::AID-EJIC2779>3.0.CO;2-Q	"TEMP: at 293 K	"COLOR: colorless "HABIT: rod "SOURCE-CHEM: hexanes/deuterochloroform	
UKENOP	A.Koppaka, B.Captain	Inorg.Chem. 	55	2679	2016	C39 H66 N2 Pt1 Sn1,C6 H14	(1,3-bis(2,6-diisopropylphenyl)-2,3-dihydro-1H-imidazol-2-ylidene)-(tri-t-butylstannyl)-trihydrido-platinum hexane solvate				yellow			P21/n	14	12.3953	23.4889	16.2028	90.0	94.834	90.0	4700.697	12.3953	16.2028	23.4889	90.0	90.0	94.834	4700.697	1175.17425	2	4.0	1.0		Block			2.53	100	1.361	1.356	3			The hydride atoms were not given in the deposited CIF	UKENOP	0	20160404	20160411	0	0	0	129	3	3			"CCDC: CCDC 1444806 "REMARK: The hydride atoms were not given in the deposited CIF. "DOI: 10.1021/acs.inorgchem.6b00048	"TEMP: 100 K	"COLOR: yellow "HABIT: Block	
UKOLEM	Chengbao Ni, Hao Lei, P.P.Power	Organometallics 	29	1988	2010	C60 H78 Fe2 N2,C6 H14	bis(mu!2$-Amido)-bis(2,2'',6,6''-tetra-isopropyl-1,1':3',1''-terphenyl-2'-yl)-di-iron(ii) n-hexane solvate			137-139 deg.C	colorless			I2/m	12	11.963	20.35	12.583	90.0	99.002	90.0	3025.563	11.963	12.583	12.92731	114.4743	112.7401	99.002	1512.782	1512.7815	2	2.0	0.25		plate			4.34	90	1.125	1.125	3				Z0940202	929	20110419	20110419	0	0	0	98	3	3			"CCDC: CCDC 810689 "DOI: 10.1021/om1000502	"TEMP: at 90 K	"MP: 137-139 deg.C "COLOR: colorless "HABIT: plate	
ULIREN	O.Bonello, C.Jones, A.Stasch, W.D.Woodul	Organometallics 	29	4914	2010	C34 H54 Ga1 Li1 N2 O2,0.5(C6 H14)	(mu!2$-eta$2!-N,N'-bis(2,6-Di-isopropylphenyl)ethene-1,2-diaminato)-dihydrido-bis(tetrahydrofuran)-gallium-lithium n-hexane solvate				colorless			P21/n	14	19.219	10.009	21.274	90.0	113.13	90.0	3763.372	10.009	19.219	21.274	113.13	90.0	90.0	3763.372	940.843	2	4.0	1.0		block			4.92	123	1.134	1.134	3				Z2670102	931	20110503	20110503	0	0	0	160	3	3			"CCDC: CCDC 767656 "DOI: 10.1021/om1001606	"TEMP: at 123 K	"COLOR: colorless "HABIT: block	
ULISIS	O.Bonello, C.Jones, A.Stasch, W.D.Woodul	Organometallics 	29	4914	2010	C32 H52 Cd1 Ga1 I1 N4,0.25(C6 H14)	(N,N'-bis(2,6-Di-isopropylphenyl)ethene-1,2-diaminato)-iodo-(N,N,N',N'-tetramethylethane-1,2-diamine)-cadmium-gallium n-hexane solvate				orange			P-1	2	11.673	17.925	19.481	104.83	98.02	91.53	3893.555	11.673	17.925	19.481	104.83	98.02	91.53	3893.555	973.38875	2	4.0	2.0		block			4.69	123	1.405	1.405	3				Z2670108	931	20110503	20110503	0	0	0	147	3	3			"CCDC: CCDC 767662 "DOI: 10.1021/om1001606	"TEMP: at 123 K	"COLOR: orange "HABIT: block	
ULUTUS	L.Ortega-Moreno, M.Fernandez-Espada, J.J.Moreno, C.Navarro-Gilabert, J.Campos, S.Conejero, J.Lopez-Serrano, C.Maya, R.Peloso, E.Carmona	Polyhedron 	116	170	2016	C26 H27 Cl1 Ir1 O2 P1,0.5(C6 H14)	Dicarbonyl-chloro-(dimethyl(2,2'',6,6''-tetramethyl-1,1':3',1''-terphenyl-2'-yl)phosphine)-iridium n-hexane solvate							P-1	2	8.6541	12.8893	13.2012	75.975	84.496	73.043	1366.019	8.6541	12.8893	13.2012	75.975	84.496	73.043	1366.019	683.0095	2	2.0	1.0		prism			1.97	173	1.637	1.637	3				ULUTUS	0	20160504	20180330	0	0	0	99	3	3			"CCDC: CCDC 1456784 "DOI: 10.1016/j.poly.2016.04.023	"TEMP: 173 K	"HABIT: prism	
UMOHUC	Yashuai Liu, H.Keil, Mingdong Zhong, Jiancheng Li, Zhi Yang, R.Herbst-Irmer, D.Stalke, H.W.Roesky	Eur.J.Inorg.Chem. 	2021	639	2021	C30 H46 Cl1 N2 P1 Si1,0.5(C6 H14)	(1,3-di-t-butyl-2-chloro-4-phenyl-2,3-dihydro-1,3,2-diazasilet-1-ium-2-yl)[2,4,6-tris(propan-2-yl)phenyl]phosphanide hexane solvate				yellow			P-1	2	10.113	10.128	18.897	91.93	102.43	114.53	1702.978	10.113	10.128	18.897	91.93	102.43	114.53	1702.978	851.489	2	2.0	1.0		block			3.08	100	1.116	1.116	3				UMOHUC	0	20210201	20210706	0	0	0	151	3	3			"CCDC: CCDC 2036269 "DOI: 10.1002/ejic.202000966	"TEMP: 100 K	"COLOR: yellow "HABIT: block	
UQAPUZ	S.Kuriyama, K.Arashiba, K.Nakajima, H.Tanaka, N.Kamaru, K.Yoshizawa, Y.Nishibayashi	J.Am.Chem.Soc. 	136	9719	2014	C48 H90 Mo2 N12 P4,2(C6 H14)	bis(2,6-bis((di-t-butylphosphino)methyl)-4-methylpyridine)-tetrakis(dinitrogen)-(mu-dinitrogen)-di-molybdenum hexane solvate							C2/c	15	24.7796	21.6001	13.6238	90.0	103.7381	90.0	7083.413	13.6238	16.43619	16.43619	82.1566	79.6874	79.6874	3541.708	1770.85325	2	4.0	0.5		block			4.2	173	1.241	1.241	3				UQAPUZ	0	20160628	20160711	0	0	0	164	3	3			"CCDC: CCDC 914089 "DOI: 10.1021/ja5044243	"TEMP: 173.1 K	"HABIT: block	
UQUPIH	G.T.Plundrich, H.Wadepohl, E.Clot, L.H.Gade	Chem.-Eur.J. 	22	9283	2016	C55 H58 I1 N1 P2 Zr1,0.5(C6 H14)	(3,6-di-t-butyl-1,8-bis((diphenylphosphino)methyl)-9H-carbazolato)-iodo-(1,3,5-trimethylbenzene)-zirconium hexane solvate				bronze		air-sensitive, moisture-sensitive	P21/n	14	19.66316	15.00396	19.79723	90.0	118.6298	90.0	5126.565	15.00396	19.66316	19.79723	118.6298	90.0	90.0	5126.565	1281.64125	2	4.0	1.0		block			3.95	110	1.368	1.368	3				UQUPIH	0	20160630	20160708	0	0	0	169	3	3			"CCDC: CCDC 1452750 "DOI: 10.1002/chem.201601213	"TEMP: 110 K	"COLOR: bronze "HABIT: block "SENS: air-sensitive, moisture-sensitive	
URAKUV	C.Sieck, Meng Guan Tay, M.-H.Thibault, R.M.Edkins, K.Costuas, J.-F.Halet, A.S.Batsanov, M.Haehnel, K.Edkins, A.Lorbach, A.Steffen, T.B.Marder	Chem.-Eur.J. 	22	10523	2016	C38 H45 O6 P2 Rh1,0.5(C6 H14)	(acetylacetonato)-(2-(methoxycarbonyl)-9-(4-(methoxycarbonyl)benzene-1,2-diyl)-9,10-secogona-1(10),2,4,8(14),9,12-hexaen-6-yn-11-yl)-bis(trimethylphosphine)-rhodium hexane solvate				yellowish brown	soaked in perfluoro polyether oil		P21/c	14	16.788	16.669	14.073	90.0	94.562	90.0	3925.7	14.073	16.669	16.788	90.0	94.562	90.0	3925.7	981.425	2	4.0	1.0		prism			3.12	100	1.363	1.363	3				URAKUV	0	20160630	20160808	0	0	0	180	3	3			"CCDC: CCDC 1419153 "DOI: 10.1002/chem.201601912	"TEMP: 100 K "OTHER-EXP: soaked in perfluoro polyether oil	"COLOR: yellowish brown "HABIT: prism	
USILUF	A.J.Challinor, M.Calin, G.S.Nichol, N.B.Carter, S.P.Thomas	Adv.Synth.Catal. 	358	2404	2016	C31 H37 F6 Fe1 N3 O7 S2,0.5(C6 H14)	aqua-(1,1'-(pyridine-2,6-diyl)bis(N-(2,6-diethylphenyl)ethanimine))-bis(trifluoromethanesulfonato)-iron(ii) n-hexane solvate				dark red			P21/n	14	12.6904	12.8321	22.9729	90.0	91.1739	90.0	3740.225	12.6904	12.8321	22.9729	90.0	91.1739	90.0	3740.225	935.05625	2	4.0	1.0	tetrahydrofuran/hexane	block			4.73	120	1.493	1.493	3				USILUF	0	20160809	20170623	0	0	0	204	3	3			"CCDC: CCDC 1452177 "DOI: 10.1002/adsc.201600570	"TEMP: 120 K	"COLOR: dark red "HABIT: block "SOURCE-CHEM: tetrahydrofuran/hexane	
UWAFOQ	Zexiong Pan, Dongjing Gao, Chunqi Zhang, Lulu Guo, Jianfeng Li, Chunming Cui	Organometallics 	40	1728	2021	C46 H94 N6 Si4 Yb2,C6 H14	bis(mu-3,3-dimethylbut-1-yne-1,1-diyl)-bis(bis(trimethylsilyl)amide)-bis(1,3-di-isopropyl-4,5-dimethylimidazol-2-ylidene)-di-ytterbium n-hexane solvate				colorless			P21/c	14	10.293	15.6	19.785	90.0	95.28	90.0	3163.413	10.293	15.6	19.785	90.0	95.28	90.0	3163.413	1581.7065	2	2.0	0.5		block			3.02	113	1.339	1.339	3				UWAFOQ	0	20210601	20210616	0	0	0	150	3	3			"CCDC: CCDC 2043482 "DOI: 10.1021/acs.organomet.1c00207	"TEMP: 113.2 K	"COLOR: colorless "HABIT: block	
UWEHIO	B.Horn, S.Pfirrmann, C.Limberg, C.Herwig, B.Braun, S.Mebs, R.Metzinger	Z.Anorg.Allg.Chem. 	637	1169	2011	C70 H106 N6 Na2 Ni2,0.5(C6 H14)	(mu!4$-Dinitrogen)-bis(mu!3$-eta$6!,eta$6!-N,N'-bis(2,6-di-isopropylphenyl)-2,2,6,6-tetramethylheptane-3,5-di-iminato)-di-nickel-di-sodium n-hexane solvate				black			P-1	2	12.632	12.7596	23.9865	88.621	88.9	63.779	3467.126	12.632	12.7596	23.9865	88.621	88.9	63.779	3467.126	1733.563	2	2.0	1.0		block			4.99	100	1.186	1.186	3				U2000202	955	20111116	20111116	0	0	0	177	3	3			"CCDC: CCDC 818246 "DOI: 10.1002/zaac.201100140	"TEMP: at 100 K	"COLOR: black "HABIT: block	
